key|S_Kr|S_En|S_Beon|S_Esp|S_Deu|S_Idn|S_Tha|S_Fr|S_Gan|S_Rus
1010054|야! 그래도 꼰대는 좀 심하잖아!|Come on! Who are you calling a snob?|Come on! Who are you calling a snob?|Come on! Who are you calling a snob?|Come on! Who are you calling a snob?|Come on! Who are you calling a snob?|Come on! Who are you calling a snob?|Come on! Who are you calling a snob?|Come on! Who are you calling a snob?|Да ладно тебе! Кого это ты называешь снобом?
1010055|누군지 모르신다면서요?|I thought you didn't know who that someone is?|I thought you didn't know who that someone is?|I thought you didn't know who that someone is?|I thought you didn't know who that someone is?|I thought you didn't know who that someone is?|I thought you didn't know who that someone is?|I thought you didn't know who that someone is?|I thought you didn't know who that someone is?|Я думала, вы не знаете, о ком речь.
1010056|누군지 모르지만…\n그래도 그 사람이 들으면 기분 나쁠 거 아냐!|Well, I don't but…\nMaybe he wouldn't like it if you called him a snob!|Well, I don't but…\nMaybe he wouldn't like it if you called him a snob!|Well, I don't but…\nMaybe he wouldn't like it if you called him a snob!|Well, I don't but…\nMaybe he wouldn't like it if you called him a snob!|Well, I don't but…\nMaybe he wouldn't like it if you called him a snob!|Well, I don't but…\nMaybe he wouldn't like it if you called him a snob!|Well, I don't but…\nMaybe he wouldn't like it if you called him a snob!|Well, I don't but…\nMaybe he wouldn't like it if you called him a snob!|Ну, я не знаю, просто...\nМожет, ему не понравится, если его называть снобом!
1010057|………..|………..|………..|………..|………..|………..|………..|………..|………..|...
1010058|………그래! 내가 죄인이다!!\n제대로 못 해 죄송합니다!!! 됐냐?|………Alright! I'm guilty!\nI'm sorry for not doing things right and making you work overtime! Satisfied?|………Alright! I'm guilty!\nI'm sorry for not doing things right and making you work overtime! Satisfied?|………Alright! I'm guilty!\nI'm sorry for not doing things right and making you work overtime! Satisfied?|………Alright! I'm guilty!\nI'm sorry for not doing things right and making you work overtime! Satisfied?|………Alright! I'm guilty!\nI'm sorry for not doing things right and making you work overtime! Satisfied?|………Alright! I'm guilty!\nI'm sorry for not doing things right and making you work overtime! Satisfied?|………Alright! I'm guilty!\nI'm sorry for not doing things right and making you work overtime! Satisfied?|………Alright! I'm guilty!\nI'm sorry for not doing things right and making you work overtime! Satisfied?|...Хорошо! Я виноват!\nЯ сожалею о том, что не делаю всё правильно и заставляю тебя работать сверхурочно! Довольна?
1010059|알면 됐어요.\n앞으론 좀 더 사령관답게 행동해 주세요.|A little.\nPlease act like a real commander from now on.|A little.\nPlease act like a real commander from now on.|A little.\nPlease act like a real commander from now on.|A little.\nPlease act like a real commander from now on.|A little.\nPlease act like a real commander from now on.|A little.\nPlease act like a real commander from now on.|A little.\nPlease act like a real commander from now on.|A little.\nPlease act like a real commander from now on.|Немного.\nПожалуйста, ведите себя как настоящий командующий.
1010060|그나저나 자려고 누웠으면 좀 푹 잘 것이지 왜 지금 일어난 거야?|Anyway, why did you wake up early if you were sleeping?|Anyway, why did you wake up early if you were sleeping?|Anyway, why did you wake up early if you were sleeping?|Anyway, why did you wake up early if you were sleeping?|Anyway, why did you wake up early if you were sleeping?|Anyway, why did you wake up early if you were sleeping?|Anyway, why did you wake up early if you were sleeping?|Anyway, why did you wake up early if you were sleeping?|Хм, так почему ты проснулась так рано?
1010061|슬슬 [00DEFF]{0}[-]님의 집중력이 떨어질 시간이라고 판단했거든요.|I figured it's about time you started to lose your concentration, [00DEFF]{0}[-].|I figured it's about time you started to lose your concentration, [00DEFF]{0}[-].|I figured it's about time you started to lose your concentration, [00DEFF]{0}[-].|I figured it's about time you started to lose your concentration, [00DEFF]{0}[-].|I figured it's about time you started to lose your concentration, [00DEFF]{0}[-].|I figured it's about time you started to lose your concentration, [00DEFF]{0}[-].|I figured it's about time you started to lose your concentration, [00DEFF]{0}[-].|I figured it's about time you started to lose your concentration, [00DEFF]{0}[-].|Я подумала, что вы уже начали терять концентрацию, [00DEFF]{0}[-].
1010062|뭐? 대체 어떻게?\n내 패턴을 파악이라도 했다는 거야?|What? Well, how?\nHow did you know that?|What? Well, how?\nHow did you know that?|What? Well, how?\nHow did you know that?|What? Well, how?\nHow did you know that?|What? Well, how?\nHow did you know that?|What? Well, how?\nHow did you know that?|What? Well, how?\nHow did you know that?|What? Well, how?\nHow did you know that?|Что? Но как?\nКак ты узнала?
1010063|3개월 동안 한결같은 모습을 보여주셨으니까요.\n좋은 쪽으로든 나쁜 쪽으로든요.\n뭐, 나쁜 쪽이 두드러지긴 했지만요.|You've been like this for the past 3 months.\nYou haven't changed a bit.\nNot even the bad habits.|You've been like this for the past 3 months.\nYou haven't changed a bit.\nNot even the bad habits.|You've been like this for the past 3 months.\nYou haven't changed a bit.\nNot even the bad habits.|You've been like this for the past 3 months.\nYou haven't changed a bit.\nNot even the bad habits.|You've been like this for the past 3 months.\nYou haven't changed a bit.\nNot even the bad habits.|You've been like this for the past 3 months.\nYou haven't changed a bit.\nNot even the bad habits.|You've been like this for the past 3 months.\nYou haven't changed a bit.\nNot even the bad habits.|You've been like this for the past 3 months.\nYou haven't changed a bit.\nNot even the bad habits.|За последние три месяца вы ничуть не изменились.\nДаже вредные привычки те же.
1010064|윽!|Arrrgggg!|Arrrgggg!|Arrrgggg!|Arrrgggg!|Arrrgggg!|Arrrgggg!|Arrrgggg!|Arrrgggg!|Аг-х!
1010065|그런데 잠이 안 온 이유는 [00DEFF]{0}[-]님 때문만은 아니에요.|Oh, but you're not the only reason that got me up, [00DEFF]{0}[-].|Oh, but you're not the only reason that got me up, [00DEFF]{0}[-].|Oh, but you're not the only reason that got me up, [00DEFF]{0}[-].|Oh, but you're not the only reason that got me up, [00DEFF]{0}[-].|Oh, but you're not the only reason that got me up, [00DEFF]{0}[-].|Oh, but you're not the only reason that got me up, [00DEFF]{0}[-].|Oh, but you're not the only reason that got me up, [00DEFF]{0}[-].|Oh, but you're not the only reason that got me up, [00DEFF]{0}[-].|О, но это не единственная причина, по которой я проснулась.
1010066|응?|What?|What?|What?|What?|What?|What?|What?|What?|Что ещё?
1010067|아무래도 여긴 오라버니가 쓰시던 방이라 좀 진정이 되지 않아서…|This used to be my brother's room, and I was reminded of him…|This used to be my brother's room, and I was reminded of him…|This used to be my brother's room, and I was reminded of him…|This used to be my brother's room, and I was reminded of him…|This used to be my brother's room, and I was reminded of him…|This used to be my brother's room, and I was reminded of him…|This used to be my brother's room, and I was reminded of him…|This used to be my brother's room, and I was reminded of him…|Это была комната моего брата, и я вспомнила о нём...
